story_id,level,chapter,theme_index,idea,shlokas,age_hint,verse_summaries_en,verse_summaries_te
"s1_01","seeds","1","1","Look carefully before you begin","1.1, 1.20","5-7 years (simple school/home analogies)","1.1: A king asks: 'Tell me, what is happening on the big playground where the two teams have gathered for the match?' | 1.20: Then Arjuna, whose banner crest was Hanuman, on beholding the sons of Dhrtarastra arrayed, took up his bow, while missiles were beginning to fly.","1.1: ఒక రాజు అడుగుతున్నాడు: 'రెండు జట్లు పోటీ కోసం సిద్ధమైన ఆ మైదానంలో ఏమి జరుగుతుందో నాకు చెప్పు?' | 1.20: Then Arjuna, whose banner crest was Hanuman, on beholding the sons of Dhrtarastra arrayed, took up his bow, while missiles were beginning to fly."
"s1_02","seeds","1","2","Fear and confusion can take over","1.28, 1.29","5-7 years (simple school/home analogies)","1.28: He was filled with deep compassion and said these words in despair: | 1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end.","1.28: He was filled with deep compassion and said these words in despair: | 1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end."
"s1_03","seeds","1","3","Confusion makes decisions hard","1.30, 1.31","5-7 years (simple school/home analogies)","1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling. | 1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle.","1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling. | 1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle."
"s1_04","seeds","1","4","Attachment affects decisions","1.33, 1.34","5-7 years (simple school/home analogies)","1.33: Those for whose sake we desire empire, enjoyment, and pleasures, stand here in war, renouncing life and wealth. | 1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—...","1.33: Those for whose sake we desire empire, enjoyment, and pleasures, stand here in war, renouncing life and wealth. | 1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—..."
"s1_05","seeds","1","5","Overthinking leads to stress","1.38, 1.39","5-7 years (simple school/home analogies)","1.38: Though these people, whose minds are overpowered by greed, see no evil in the destruction of a clan and no sin in treachery to friends, | 1.39: Why should we not learn to shun this crime—we who see the evil of ruining a clan, O Krishna?","1.38: Though these people, whose minds are overpowered by greed, see no evil in the destruction of a clan and no sin in treachery to friends, | 1.39: Why should we not learn to shun this crime—we who see the evil of ruining a clan, O Krishna?"
"s1_06","seeds","1","6","Giving up mentally","1.44, 1.45","5-7 years (simple school/home analogies)","1.44: For those whose clan laws are destroyed, dwelling in hell is ordained, O Krishna; thus, we have heard. | 1.45: Alas! We have resolved to commit a great sin, for we are ready to slay our kin out of desire for sovereignty and enjoyment.","1.44: For those whose clan laws are destroyed, dwelling in hell is ordained, O Krishna; thus, we have heard. | 1.45: Alas! We have resolved to commit a great sin, for we are ready to slay our kin out of desire for sovereignty and enjoyment."
"s1_07","seeds","1","7","Shutting down and quitting","1.46, 1.47","5-7 years (simple school/home analogies)","1.46: If the well-armed sons of Dhrtarastra should slay me in battle, unresisting and unarmed, that would be better for me. | 1.47: Sanjaya said: Having spoken thus on the battlefield, Arjuna threw aside his bow and arrows and sat down on the chariot seat, his heart overwhelmed with grief.","1.46: If the well-armed sons of Dhrtarastra should slay me in battle, unresisting and unarmed, that would be better for me. | 1.47: Sanjaya said: Having spoken thus on the battlefield, Arjuna threw aside his bow and arrows and sat down on the chariot seat, his heart overwhelmed with grief."
"sk1_01","seekers","1","1","Fear and confusion can take over","1.28, 1.29","8-10 years (deeper, can mention Arjuna/Krishna)","1.28: He was filled with deep compassion and said these words in despair: | 1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end.","1.28: He was filled with deep compassion and said these words in despair: | 1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end."
"sk1_02","seekers","1","2","Fear affects body and mind","1.29, 1.30","8-10 years (deeper, can mention Arjuna/Krishna)","1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end. | 1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling.","1.29: My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end. | 1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling."
"sk1_03","seekers","1","3","Confusion makes decisions hard","1.30, 1.31","8-10 years (deeper, can mention Arjuna/Krishna)","1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling. | 1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle.","1.30: The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling. | 1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle."
"sk1_04","seekers","1","4","Running away from duty","1.31, 1.32","8-10 years (deeper, can mention Arjuna/Krishna)","1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle. | 1.32: I desire no victory, nor empire, nor pleasures. What have we to do with empire, O Krishna, or enjoyment, or even life?","1.31: I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle. | 1.32: I desire no victory, nor empire, nor pleasures. What have we to do with empire, O Krishna, or enjoyment, or even life?"
